Name,Number,Designation,PackedDesignation,DiscoveryDesignation,ObserverDesignation,Discovery,LostDiscovery,Orbit,Principal,Comment,NEO
2017 QD24, ,2017 QD24,K17Q24D,2017 QD24,OG15015,1, , , , , 
2017 QE24, ,2017 QE24,K17Q24E,2017 QE24,OG15016,1, , , , , 
2017 QF24, ,2017 QF24,K17Q24F,2017 QF24,OG15018,1, , , , , 
2017 QG24, ,2017 QG24,K17Q24G,2017 QG24,OG15019,1, , , , , 
2017 QH24, ,2017 QH24,K17Q24H,2017 QH24,OG15002,1, , , , , 
2017 QJ54, ,2017 QJ54,K17Q54J,2017 QJ54,OG14815,1, , , , , 
2017 QN54, ,2017 QN54,K17Q54N,2017 QN54,OG14827,1, , , , , 
2017 QS54, ,2017 QS54,K17Q54S,2017 QS54,OG14834,1, , , , , 
2017 QX54, ,2017 QX54,K17Q54X,2017 QX54,OG14841,1, , , , , 
2017 QZ54, ,2017 QZ54,K17Q54Z,2017 QZ54,OG14826,1, , , , , 
2017 QW56, ,2017 QW56,K17Q56W,2017 QW56,OG14884,1, , , , , 
2017 SR62, ,2017 SR62,K17S62R,2017 SR62,OG15156,1, , , , , 
2017 SS62, ,2017 SS62,K17S62S,2017 SS62,OG15147,1, , , , , 
2017 SU62, ,2017 SU62,K17S62U,2017 SU62,OG15145,1, , , , , 
2017 SW62, ,2017 SW62,K17S62W,2017 SW62,OG15138,1, , , , , 
2017 SE63, ,2017 SE63,K17S63E,2017 SE63,OG15169,1, , , , , 
2017 SM63, ,2017 SM63,K17S63M,2017 SM63,OG15198,1, , , , , 
2017 SH102, ,2017 SH102,K17SA2H,2017 SH102,OG15430,1, , , , , 
2017 SJ102, ,2017 SJ102,K17SA2J,2017 SJ102,OG15273,1, , , , , 
2017 SL102, ,2017 SL102,K17SA2L,2017 SL102,OG15433,1, , , , , 
2017 SS102, ,2017 SS102,K17SA2S,2017 SS102,OG15276,1, , , , , 
2017 ST102, ,2017 ST102,K17SA2T,2017 ST102,OG15317,1, , , , , 
2017 SU102, ,2017 SU102,K17SA2U,2017 SU102,OG15350,1, , , , , 
2017 SA107, ,2017 SA107,K17SA7A,2017 SA107,OG15564,1, , , , , 
