SohasDesignation,Asteroid,AutoDetected,Confirmed,ConfirmedAt,ConfirmedBy,Comment
OG19364,,,1,2019-08-01 22:12:20,Michal Biesiada,
OG19363,,,1,2019-08-01 22:11:41,Michal Biesiada,
OG19362,,,1,2019-08-01 22:11:16,Michal Biesiada,
OG19361,,,1,2019-08-01 22:10:21,Michal Biesiada,
OG19360,,,1,2019-08-01 22:09:54,Michal Biesiada,
OG19359,,,1,2019-08-01 22:02:19,Michal Biesiada,
OG19358,,,1,2019-08-01 22:01:53,Michal Biesiada,
OG19356,,,1,2019-08-01 21:57:44,Michal Biesiada,
OG19299,,,1,2019-07-31 22:12:56,Michal Biesiada,
OG19298,,,1,2019-07-31 22:00:08,Michal Biesiada,
OG19297,,,1,2019-07-31 21:55:25,Michal Biesiada,
OG19296,,,1,2019-07-31 21:47:28,Michal Biesiada,
OG19295,,,1,2019-07-31 21:46:16,Michal Biesiada,
OG19294,,,1,2019-07-31 21:44:37,Michal Biesiada,
OG19293,,,1,2019-07-31 21:44:18,Michal Biesiada,
OG19292,,,1,2019-07-31 21:39:07,Michal Biesiada,
OG19291,,,1,2019-07-31 21:27:26,Michal Biesiada,
OG19290,,,1,2019-07-31 21:15:59,Michal Biesiada,
OG19289,,,1,2019-07-31 21:11:52,Michal Biesiada,
OG19224,,,1,2019-07-31 10:38:42,Michal Biesiada,
OG19223,,,1,2019-07-31 10:33:30,Michal Biesiada,
OG19202,,,1,2019-07-30 09:12:28,Michal Biesiada,
OG19201,,,1,2019-07-30 09:03:51,Michal Biesiada,
OG19200,,,1,2019-07-30 09:01:23,Michal Biesiada,
OG19199,,,1,2019-07-30 09:00:24,Michal Biesiada,
OG19197,,,1,2019-07-30 08:47:10,Michal Biesiada,
OG19196,,,1,2019-07-30 08:46:47,Michal Biesiada,
OG19195,,,1,2019-07-30 08:45:13,Michal Biesiada,
OG19193,,,1,2019-07-30 08:34:25,Michal Biesiada,
OG19192,,,1,2019-07-30 08:32:20,Michal Biesiada,
OG19191,,,1,2019-07-30 08:27:10,Michal Biesiada,
OG19151,,,1,2019-06-13 23:11:24,Michal Biesiada,
OG19150,,,1,2019-06-13 22:43:43,Michal Biesiada,
OG19149,,,1,2019-06-13 21:37:37,Michal Biesiada,
OG19148,,,1,2019-06-13 20:32:26,Michal Biesiada,
OG19147,,,1,2019-06-13 20:24:43,Michal Biesiada,
OG19146,,,1,2019-06-13 18:42:48,Michal Biesiada,
OG19145,,,1,2019-06-13 18:31:03,Michal Biesiada,
OG19144,,,1,2019-06-13 18:29:49,Michal Biesiada,
OG19143,,,1,2019-06-13 18:28:19,Michal Biesiada,
OG19142,,,1,2019-06-13 18:24:06,Michal Biesiada,
OG19141,,,1,2019-06-13 18:22:24,Michal Biesiada,
OG19140,,,1,2019-06-13 18:20:20,Michal Biesiada,
OG19133,,,1,2019-06-07 11:35:41,Michal Biesiada,
OG19132,,,1,2019-06-07 11:32:36,Michal Biesiada,
OG19131,,,1,2019-06-07 11:12:39,Michal Biesiada,
OG19062,2012 TE232,1,2019-04-10 13:45:21,Michal Biesiada,
OG19061,,,1,2019-04-10 13:44:35,Michal Biesiada,
OG19060,,,1,2019-04-10 13:35:45,Michal Biesiada,
OG19059,,,1,2019-04-10 13:34:58,Michal Biesiada,
OG19058,,,1,2019-04-10 13:34:44,Michal Biesiada,
OG19057,,,1,2019-04-10 13:31:36,Michal Biesiada,
OG19056,,,1,2019-04-10 12:25:16,Michal Biesiada,
OG19055,,,1,2019-04-10 12:21:29,Michal Biesiada,
OG19045,,,1,2019-04-08 21:33:42,Michal Biesiada,
OG19044,,,1,2019-04-08 21:24:03,Michal Biesiada,
OG19042,,,1,2019-04-08 21:17:11,Michal Biesiada,
OG19041,,,1,2019-04-08 21:16:39,Michal Biesiada,
OG19025,,,1,2019-04-08 00:54:13,Michal Biesiada,
OG19024,,,1,2019-04-08 00:46:11,Michal Biesiada,
OG18972,,,1,2019-03-30 14:50:31,Michal Biesiada,
OG18971,,,1,2019-03-30 14:41:50,Michal Biesiada,
OG18970,,,1,2019-03-30 14:41:03,Michal Biesiada,
OG18969,,,1,2019-03-30 14:40:09,Michal Biesiada,
OG18968,,,1,2019-03-30 14:33:57,Michal Biesiada,
OG18967,,,1,2019-03-30 14:31:58,Michal Biesiada,
OG18966,,,1,2019-03-30 14:31:01,Michal Biesiada,
OG18965,,,1,2019-03-30 14:30:43,Michal Biesiada,
OG18964,,,1,2019-03-30 14:23:34,Michal Biesiada,
OG18963,,,1,2019-03-30 14:20:03,Michal Biesiada,
OG18962,,,1,2019-03-30 14:19:43,Michal Biesiada,
OG18961,,,1,2019-03-30 14:16:46,Michal Biesiada,
OG18960,,,1,2019-03-30 14:11:53,Michal Biesiada,
OG18959,,,1,2019-03-30 14:03:36,Michal Biesiada,
OG18958,,,1,2019-03-30 14:02:41,Michal Biesiada,
OG18957,,,1,2019-03-30 14:01:46,Michal Biesiada,
OG18956,,,1,2019-03-30 13:48:03,Michal Biesiada,
OG18955,,,1,2019-03-30 13:43:17,Michal Biesiada,
OG18954,,,1,2019-03-30 13:41:51,Michal Biesiada,
OG18953,,,1,2019-03-30 13:41:04,Michal Biesiada,
OG18952,,,1,2019-03-30 13:40:06,Michal Biesiada,
OG18951,,,1,2019-03-30 13:39:40,Michal Biesiada,
OG18950,,,1,2019-03-30 13:29:13,Michal Biesiada,
OG18949,,,1,2019-03-30 13:24:39,Michal Biesiada,
OG18948,,,1,2019-03-30 13:22:33,Michal Biesiada,
OG18947,,,1,2019-03-30 13:07:50,Michal Biesiada,
OG18946,,,1,2019-03-30 13:04:24,Michal Biesiada,
OG18945,,,1,2019-03-30 12:55:53,Michal Biesiada,
OG18944,,,1,2019-03-30 12:50:28,Michal Biesiada,
OG18943,,,1,2019-03-30 12:50:10,Michal Biesiada,
OG18833,,,1,2019-03-14 01:31:35,Michal Biesiada,
OG18832,,,1,2019-03-14 01:30:48,Michal Biesiada,
OG18831,,,1,2019-03-14 01:02:56,Michal Biesiada,
OG18830,,,1,2019-03-14 00:57:40,Michal Biesiada,
OG18829,,,1,2019-03-14 00:48:56,Michal Biesiada,
OG18828,,,1,2019-03-14 00:46:52,Michal Biesiada,
OG18827,,,1,2019-03-14 00:41:13,Michal Biesiada,
OG18826,,,1,2019-03-14 00:31:53,Michal Biesiada,
OG18825,,,1,2019-03-14 00:31:10,Michal Biesiada,
OG18824,,,1,2019-03-14 00:30:22,Michal Biesiada,
OG18823,,,1,2019-03-14 00:27:28,Michal Biesiada,
OG18822,,,1,2019-03-14 00:26:05,Michal Biesiada,
OG18735,,,1,2019-02-09 10:54:18,Michal Biesiada,
OG18706,,,1,2019-02-08 11:46:46,Michal Biesiada,
OG18698,,,1,2019-02-08 11:45:29,Michal Biesiada,
OG18697,,,1,2019-02-08 11:44:41,Michal Biesiada,
OG18696,,,1,2019-02-08 11:43:36,Michal Biesiada,
OG18695,,,1,2019-02-08 11:42:04,Michal Biesiada,
OG18694,,,1,2019-02-08 11:41:41,Michal Biesiada,
OG18693,,,1,2019-02-08 11:39:51,Michal Biesiada,
OG18692,,,1,2019-02-08 11:38:20,Michal Biesiada,
OG18691,,,1,2019-02-08 11:38:00,Michal Biesiada,
OG18690,,,1,2019-02-08 11:37:32,Michal Biesiada,
OG18689,,,1,2019-02-08 11:30:01,Michal Biesiada,
OG18688,,,1,2019-02-08 11:29:33,Michal Biesiada,
OG18687,,,1,2019-02-08 11:28:32,Michal Biesiada,
OG18686,,,1,2019-02-08 11:24:58,Michal Biesiada,
OG18685,,,1,2019-02-08 11:23:30,Michal Biesiada,
OG18684,,,1,2019-02-08 11:21:57,Michal Biesiada,
OG18683,,,1,2019-02-08 11:21:32,Michal Biesiada,
OG18682,,,1,2019-02-08 11:18:22,Michal Biesiada,
OG18681,,,1,2019-02-08 11:16:28,Michal Biesiada,
OG18680,,,1,2019-02-08 11:13:00,Michal Biesiada,
OG18679,2019 CK,1,2019-02-08 11:12:38,Michal Biesiada,
OG18678,,,1,2019-02-08 11:12:19,Michal Biesiada,
OG18677,,,1,2019-02-08 11:11:48,Michal Biesiada,
OG18676,,,1,2019-02-08 11:08:41,Michal Biesiada,
OG18675,,,1,2019-02-08 11:08:19,Michal Biesiada,
OG18674,,,1,2019-02-08 11:07:28,Michal Biesiada,
OG18673,,,1,2019-02-08 11:00:34,Michal Biesiada,
OG18672,,,1,2019-02-08 10:59:03,Michal Biesiada,
OG18671,,,1,2019-02-08 10:55:56,Michal Biesiada,
OG18670,,,1,2019-02-08 10:54:04,Michal Biesiada,
OG18669,,,1,2019-02-08 10:53:41,Michal Biesiada,
OG18608,,,1,2019-02-06 21:26:26,Michal Biesiada,
OG18607,,,1,2019-02-06 21:24:49,Michal Biesiada,
OG18562,,,1,2019-01-13 13:44:13,Michal Biesiada,
OG18561,,,1,2019-01-13 13:42:36,Michal Biesiada,
OG18463,,,1,2018-12-06 16:39:17,Michal Biesiada,
OG18462,,,1,2018-12-06 16:32:53,Michal Biesiada,
OG18461,,,1,2018-12-06 16:31:47,Michal Biesiada,
OG18359,,,1,2018-12-04 12:07:33,Michal Biesiada,
OG18355,,,1,2018-12-04 11:47:21,Michal Biesiada,
OG18354,,,1,2018-12-04 11:46:58,Michal Biesiada,
OG18353,,,1,2018-12-04 11:41:12,Michal Biesiada,
OG18352,,,1,2018-12-04 11:40:57,Michal Biesiada,
OG18351,,,1,2018-12-04 11:38:05,Michal Biesiada,
OG18348,,,1,2018-12-04 11:34:30,Michal Biesiada,
OG18347,,,1,2018-12-04 11:29:18,Michal Biesiada,
OG18346,,,1,2018-12-04 11:28:07,Michal Biesiada,
OG18345,,,1,2018-12-04 11:27:39,Michal Biesiada,
OG18344,,,1,2018-12-04 11:26:37,Michal Biesiada,
OG18343,,,1,2018-12-04 11:25:53,Michal Biesiada,
OG18342,,,1,2018-12-04 11:23:50,Michal Biesiada,
OG18341,,,1,2018-12-04 11:18:56,Michal Biesiada,
OG18340,,,1,2018-12-04 11:18:06,Michal Biesiada,
OG18339,,,1,2018-12-04 11:17:43,Michal Biesiada,
OG18338,,,1,2018-12-04 11:17:03,Michal Biesiada,
OG18337,,,1,2018-12-04 11:14:07,Michal Biesiada,
OG18327,,,1,2018-12-04 10:18:26,Michal Biesiada,
OG18123,,,1,2018-11-19 12:09:28,Michal Biesiada,
OG18122,,,1,2018-11-19 12:08:30,Michal Biesiada,
OG18121,,,1,2018-11-19 12:07:33,Michal Biesiada,
OG18120,,,1,2018-11-19 12:06:54,Michal Biesiada,
OG18119,,,1,2018-11-19 12:06:25,Michal Biesiada,
OG18118,,,1,2018-11-19 12:04:30,Michal Biesiada,
OG18117,,,1,2018-11-19 11:58:27,Michal Biesiada,
OG18116,,,1,2018-11-19 11:56:50,Michal Biesiada,
OG18115,,,1,2018-11-19 11:50:48,Michal Biesiada,
OG18114,,,1,2018-11-19 11:48:35,Michal Biesiada,
OG18113,,,1,2018-11-19 11:46:43,Michal Biesiada,
OG18112,,,1,2018-11-19 11:45:38,Michal Biesiada,
OG18111,,,1,2018-11-19 11:42:46,Michal Biesiada,
OG17411,,,1,2018-09-13 06:46:35,Michal Biesiada,
OG17410,,,1,2018-09-13 06:41:55,Michal Biesiada,
OG17409,,,1,2018-09-13 06:41:40,Michal Biesiada,
OG17249,,,1,2018-09-08 23:21:48,Michal Biesiada,
OG17248,,,1,2018-09-08 23:12:12,Michal Biesiada,
OG17247,,,1,2018-09-08 23:09:22,Michal Biesiada,
OG17246,,,1,2018-09-08 23:07:36,Michal Biesiada,
OG17245,,,1,2018-09-08 23:05:21,Michal Biesiada,
OG17244,2018 RE34,1,2018-09-08 23:01:45,Michal Biesiada,
OG17084,,,1,2018-08-11 11:40:12,Michal Biesiada,
OG17083,,,1,2018-08-11 11:35:30,Michal Biesiada,
OG17082,,,1,2018-08-11 09:05:10,Michal Biesiada,
OG17081,,,1,2018-08-11 09:03:41,Michal Biesiada,
OG17080,,,1,2018-08-11 08:58:19,Michal Biesiada,
OG16665,,,1,2018-05-17 02:31:40,Michal Biesiada,
OG16664,,,1,2018-05-17 02:29:02,Michal Biesiada,
OG16662,,,1,2018-05-17 02:24:39,Michal Biesiada,
OG16661,,,1,2018-05-17 02:24:11,Michal Biesiada,
OG16426,,,1,2018-03-17 22:11:32,Michal Biesiada,
OG16425,,,1,2018-03-17 21:38:14,Michal Biesiada,
OG16424,2018 FJ25,1,2018-03-17 21:37:00,Michal Biesiada,
OG16423,,,1,2018-03-17 21:35:49,Michal Biesiada,
OG16422,,,1,2018-03-17 21:34:08,Michal Biesiada,
OG16419,2018 FS5,1,2018-03-17 15:09:00,Michal Biesiada,
OG16418,2018 FT5,1,2018-03-17 15:07:53,Michal Biesiada,
OG16417,,,1,2018-03-17 15:01:56,Michal Biesiada,
OG16416,2018 FZ28,1,2018-03-17 14:52:46,Michal Biesiada,
OG16414,,,1,2018-03-17 14:40:22,Michal Biesiada,
OG16413,,,1,2018-03-17 14:37:37,Michal Biesiada,
OG16385,,,1,2018-03-15 23:02:16,Michal Biesiada,
OG16338,2018 CS7,1,2018-01-20 10:02:39,Michal Biesiada,
OG16337,,,1,2018-01-20 09:02:13,Michal Biesiada,
OG16327,,,1,2018-01-18 21:55:44,Michal Biesiada,
OG16326,,,1,2018-01-18 21:54:32,Michal Biesiada,
OG16325,2007 BQ103,1,2018-01-18 21:54:11,Michal Biesiada,
OG16324,,,1,2018-01-18 21:53:51,Michal Biesiada,
OG16323,,,1,2018-01-18 21:07:56,Michal Biesiada,
OG16321,,,1,2018-01-18 21:03:37,Michal Biesiada,
OG16320,,,1,2018-01-18 21:00:37,Michal Biesiada,
OG16319,,,1,2018-01-18 20:59:44,Michal Biesiada,
OG16317,,,1,2018-01-18 20:19:17,Michal Biesiada,
OG16316,2002 SE66,1,2018-01-18 20:18:19,Michal Biesiada,
OG16315,,,1,2018-01-18 20:10:43,Michal Biesiada,
OG16314,,,1,2018-01-18 20:10:30,Michal Biesiada,
OG16298,,,1,2018-01-15 22:31:54,Michal Biesiada,
OG16297,2017 YA14,1,2018-01-15 22:29:56,Michal Biesiada,
OG16296,,,1,2018-01-15 22:14:29,Michal Biesiada,
OG16293,,,1,2017-12-22 09:37:31,Michal Biesiada,
OG16292,,,1,2017-12-22 09:36:56,Michal Biesiada,
OG16291,,,1,2017-12-22 09:34:15,Michal Biesiada,
OG16290,,,1,2017-12-22 09:18:46,Michal Biesiada,
OG16289,,,1,2017-12-22 08:40:42,Michal Biesiada,
OG16288,,,1,2017-12-22 08:33:29,Michal Biesiada,
OG16287,,,1,2017-12-22 08:33:13,Michal Biesiada,
OG16286,,,1,2017-12-22 08:33:01,Michal Biesiada,
OG16285,,,1,2017-12-22 08:07:33,Michal Biesiada,
OG16284,,,1,2017-12-22 07:58:02,Michal Biesiada,
OG16283,,,1,2017-12-22 07:55:17,Michal Biesiada,
OG16282,,,1,2017-12-22 07:54:36,Michal Biesiada,
OG16281,,,1,2017-12-22 07:46:37,Michal Biesiada,
OG16280,,,1,2017-12-22 07:31:28,Michal Biesiada,
OG16279,,,1,2017-12-22 07:24:40,Michal Biesiada,
OG16278,,,1,2017-12-22 07:21:30,Michal Biesiada,
OG16275,,,1,2017-12-22 00:11:23,Michal Biesiada,
OG16274,,,1,2017-12-22 00:10:20,Michal Biesiada,
OG16273,,,1,2017-12-21 23:58:10,Michal Biesiada,
OG16272,,,1,2017-12-21 23:57:05,Michal Biesiada,
OG16271,,,1,2017-12-21 23:52:10,Michal Biesiada,
OG16270,,,1,2017-12-21 23:10:01,Michal Biesiada,
OG16269,,,1,2017-12-21 23:07:06,Michal Biesiada,
OG16268,,,1,2017-12-21 22:54:43,Michal Biesiada,
OG16267,,,1,2017-12-21 22:28:01,Michal Biesiada,
OG16259,,,1,2017-12-21 18:05:14,Michal Biesiada,
OG16258,,,1,2017-12-21 18:04:43,Michal Biesiada,
OG16257,,,1,2017-12-21 18:04:12,Michal Biesiada,
OG16256,,,1,2017-12-21 17:59:32,Michal Biesiada,
OG16193,,,1,2017-12-19 13:38:27,Michal Biesiada,
OG16192,,,1,2017-12-19 13:36:59,Michal Biesiada,
OG16191,2018 AG14,1,2017-12-19 13:30:53,Michal Biesiada,
OG16190,,,1,2017-12-19 13:30:30,Michal Biesiada,
OG16189,,,1,2017-12-19 13:30:11,Michal Biesiada,
OG16188,,,1,2017-12-19 13:29:27,Michal Biesiada,
OG16187,,,1,2017-12-19 13:18:36,Michal Biesiada,
OG16186,,,1,2017-12-19 13:12:29,Michal Biesiada,
OG16183,,,1,2017-12-19 09:23:41,Michal Biesiada,
OG16182,,,1,2017-12-19 09:13:35,Michal Biesiada,
OG16181,,,1,2017-12-19 09:12:12,Michal Biesiada,
OG16180,,,1,2017-12-19 09:04:55,Michal Biesiada,
OG16179,,,1,2017-12-19 09:04:41,Michal Biesiada,
OG16178,,,1,2017-12-19 09:03:01,Michal Biesiada,
OG16177,,,1,2017-12-19 09:02:29,Michal Biesiada,
OG16176,2005 UA432,1,2017-12-19 08:58:53,Michal Biesiada,
OG16175,,,1,2017-12-19 08:49:51,Michal Biesiada,
OG16174,,,1,2017-12-19 08:48:44,Michal Biesiada,
OG16173,2018 AU13,1,2017-12-19 08:48:10,Michal Biesiada,
OG16172,,,1,2017-12-19 08:46:07,Michal Biesiada,
OG16170,,,1,2017-12-18 23:42:38,Michal Biesiada,
OG16169,,,1,2017-12-18 23:35:35,Michal Biesiada,
OG16168,2018 CE,1,2017-12-18 23:34:36,Michal Biesiada,
OG16167,,,1,2017-12-18 23:33:45,Michal Biesiada,
OG16165,2017 XW59,1,2017-12-18 23:27:06,Michal Biesiada,
OG16107,2017 XB10,1,2017-12-09 19:34:23,Michal Biesiada,
OG16106,,,1,2017-12-09 19:34:01,Michal Biesiada,
OG16105,2017 XO52,1,2017-12-09 19:33:07,Michal Biesiada,
OG16104,2003 UJ5,1,2017-12-09 19:32:34,Michal Biesiada,
OG16103,,,1,2017-12-09 19:30:06,Michal Biesiada,
OG16102,2017 XA13,1,2017-12-09 19:29:12,Michal Biesiada,
